Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
530839,,CLIOINFO,CLIO INFOTECH LTD.,Active,X ,10.00,INE011B01017,IT Software Products,Equity
530951,,RAMINFO,RAMINFO LIMITED,Active,X ,10.00,INE357B01022,IT Software Products,Equity
531083,,NIHARINF,NIHAR INFO GLOBAL LTD.,Active,X ,10.00,INE876E01033,IT Software Products,Equity
531126,,VIRTUALS,VIRTUALSOFT SYSTEMS LTD.,Active,X ,10.00,INE237C01016,IT Software Products,Equity
531161,,ABMKNO,ABM KNOWLEDGEWARE LTD.,Active,X ,5.00,INE850B01026,IT Software Products,Equity
531209,,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.,Active,B ,10.00,INE096B01018,IT Software Products,Equity
531225,,XTGLOBAL,Xtglobal Infotech Ltd,Active,XT,1.00,INE547B01028,IT Software Products,Equity
531268,,B2BSOFT,B2B SOFTWARE TECHNOLOGIES LTD.,Active,XT,10.00,INE151B01011,IT Software Products,Equity
531429,,ADVENT,ADVENT COMPUTER SERVICES LTD.,Active,X ,10.00,INE101C01022,IT Software Products,Equity
531489,,CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.,Active,X ,10.00,INE084D01010,IT Software Products,Equity
531525,,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,Active,X ,10.00,INE849B01010,IT Software Products,Equity
531917,,TWINSTAR,Twinstar Industries Limited,Active,Z ,10.00,INE070B01013,IT Software Products,Equity
532041,,HINDBIO,HINDUSTAN BIO SCIENCES LTD.,Active,X ,10.00,INE597C01013,IT Software Products,Equity
532100,,INDOCITY,INDO-CITY INFOTECH LTD.-$,Active,X ,10.00,INE456B01014,IT Software Products,Equity
532173,,CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LTD.,Active,B ,10.00,INE214A01019,IT Software Products,Equity
532271,,CYBERMAT,CYBERMATE INFOTEK LTD.,Active,X ,2.00,INE215B01022,IT Software Products,Equity
532307,,MELSTAR,MELSTAR INFORMATION TECHNOLOGIES LTD.,Active,Z ,10.00,INE817A01019,IT Software Products,Equity
532326,,INTENTECH,INTENSE TECHNOLOGIES LTD.-$,Active,B ,2.00,INE781A01025,IT Software Products,Equity
532329,,DANLAW,DANLAW TECHNOLOGIES INDIA LTD.-$,Active,X ,10.00,INE310B01013,IT Software Products,Equity
532340,,OMNIAX,OMNI AXS SOFTWARE LTD.,Active,XT,10.00,INE369B01019,IT Software Products,Equity
532344,,SOFTSOL,SOFTSOL INDIA LTD.,Active,X ,10.00,INE002B01016,IT Software Products,Equity
532348,,SUBEX,SUBEX LTD.,Active,B ,10.00,INE754A01014,IT Software Products,Equity
532354,,VIRGOGLOB,Virgo Global Ltd,Active,Z ,4.00,INE400B01020,IT Software Products,Equity
532359,,HITKITGLO,HIT KIT GLOBAL SOLUTIONS LTD.,Active,X ,2.00,INE309B01023,IT Software Products,Equity
532368,,BCG,Brightcom Group Ltd,Active,B ,2.00,INE425B01027,IT Software Products,Equity
532372,,VIRINCHI,Virinchi Ltd,Active,X ,10.00,INE539B01017,IT Software Products,Equity
532379,,FIRSTOBJ,FIRSTOBJECT TECHNOLOGIES LTD.,Active,X ,10.00,INE683B01047,IT Software Products,Equity
532386,,CALSOFT,CALIFORNIA SOFTWARE CO.LTD.,Active,B ,10.00,INE526B01014,IT Software Products,Equity
532398,,UMESLTD,Usha Martin Education & Solutions Limited,Active,B ,1.00,INE240C01028,IT Software Products,Equity
532402,,USGTECH,USG TECH SOLUTIONS LTD.,Active,X ,10.00,INE718B01017,IT Software Products,Equity
532404,,7TEC,SAVEN TECHNOLOGIES LTD.,Active,X ,1.00,INE856B01023,IT Software Products,Equity
532407,,MOSCHIP,Moschip Technologies Ltd,Active,X ,2.00,INE935B01025,IT Software Products,Equity
532408,,MEGASOFT,MEGASOFT LTD.,Active,B ,10.00,INE933B01012,IT Software Products,Equity
532444,,TSPIRITUAL,T.SPIRITUAL WORLD LTD.,Active,X ,10.00,INE541C01037,IT Software Products,Equity
532521,,PALRED,Palred Technologies Limited,Active,B ,10.00,INE218G01033,IT Software Products,Equity
532528,,DATAMATICS,DATAMATICS GLOBAL SERVICES LTD.,Active,B ,5.00,INE365B01017,IT Software Products,Equity
532668,,AURIONPRO,AURIONPRO SOLUTIONS LTD.,Active,B ,10.00,INE132H01018,IT Software Products,Equity
532790,,TANLA,TANLA SOLUTIONS LTD.,Active,B ,1.00,INE483C01032,IT Software Products,Equity
532801,,CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Active,B ,10.00,INE627H01017,IT Software Products,Equity
532972,,SANKHYAIN,SANKHYA INFOTECH LTD.,Active,X ,10.00,INE877A01013,IT Software Products,Equity
533339,,ZENTEC,ZEN TECHNOLOGIES LTD.,Active,B ,1.00,INE251B01027,IT Software Products,Equity
538273,,RESPONSINF,Response Informatics Ltd,Active,XT,10.00,INE401B01010,IT Software Products,Equity
538713,,ATISHAY,Atishay Ltd,Active,B ,10.00,INE011R01013,IT Software Products,Equity
538835,,INTELLECT,Intellect Design Arena Ltd,Active,A ,5.00,INE306R01017,IT Software Products,Equity
538922,,COSYN,COSYN Ltd,Active,X ,10.00,INE029B01019,IT Software Products,Equity
539607,,BLUECLOUDS,Blue Cloud Softech Solutions Ltd,Active,XT,2.00,INE373T01039,IT Software Products,Equity
539678,,QUICKHEAL,Quick Heal Technologies Ltd,Active,B ,10.00,INE306L01010,IT Software Products,Equity
540735,,IRIS,IRIS Business Services Ltd,Active,M ,10.00,INE864K01010,IT Software Products,Equity
590051,,SAKSOFT,SAKSOFT LTD.,Active,B ,10.00,INE667G01015,IT Software Products,Equity
590057,,PROSEED,Proseed India Ltd,Active,B ,1.00,INE217G01027,IT Software Products,Equity
